metric,prefix,N,MAD_anchor,MAD_arecho,MAD_anchor_CI_low,MAD_anchor_CI_high,MAD_arecho_CI_low,MAD_arecho_CI_high,mean_anchor,mean_arecho,std_anchor,std_arecho,anchor_over_rate,anchor_under_rate,arecho_over_rate,arecho_under_rate,anchor_bias,arecho_bias,anchor_bias_CI_low,anchor_bias_CI_high,arecho_bias_CI_low,arecho_bias_CI_high,skew_anchor,skew_arecho,p_value,cohen_d
asr_match_error_rate,2,30,0.08109164223503697,0.06237018104782236,0.022368261999180197,0.15868988184751154,0.01916891859819821,0.1139761681669006,-0.08109164223503697,-0.04775830890170364,0.19107828050679276,0.14692509054075314,0.0,0.43333333333333335,0.03333333333333333,0.4,-0.08109164223503697,-0.04775830890170364,-0.16085061700114073,-0.02058178174079354,-0.10321816728182444,-0.007077529204352945,-0.43333333333333335,-0.3666666666666667,0.32558198801619365,-0.1825741858350554
asr_match_error_rate,4,25,0.07247292093933425,0.07247292093933425,0.015443658380438926,0.1559118626840442,0.012782472633561113,0.15145009387144548,-0.07247292093933425,-0.07247292093933425,0.18501883431859836,0.18501883431859836,0.0,0.44,0.0,0.44,-0.07247292093933425,-0.07247292093933425,-0.15558262629473307,-0.015124729294735694,-0.15494758595251013,-0.013851455910223933,-0.44,-0.44,1.0,0.0
asr_match_error_rate,6,18,0.016455012912402138,0.016455012912402138,0.0021075563501656257,0.03507977128782384,0.0027616121125010056,0.033779313143989416,-0.016455012912402138,-0.016455012912402138,0.035654303274569275,0.035654303274569275,0.0,0.3333333333333333,0.0,0.3333333333333333,-0.016455012912402138,-0.016455012912402138,-0.035151025284769155,-0.0027622959381621557,-0.03451848842164435,-0.002441839844765909,-0.3333333333333333,-0.3333333333333333,1.0,0.0
asr_match_error_rate,8,9,0.01691490982968829,0.01691490982968829,0.0013071895424836444,0.04572769480228303,0.0011574074074074,0.04266395532247287,-0.01691490982968829,-0.01691490982968829,0.03869359046047241,0.03869359046047241,0.0,0.4444444444444444,0.0,0.4444444444444444,-0.01691490982968829,-0.01691490982968829,-0.043319839727224106,-0.0013071895424836444,-0.04397343449846593,-0.0013071895424836444,-0.4444444444444444,-0.4444444444444444,1.0,0.0
speech_bert,2,68,0.04859099549278982,0.050820705778993565,0.03928684173972501,0.05810746513923131,0.040950178262572294,0.06146151894840351,-0.009802141958817257,-0.031165066728939986,0.06238108028271504,0.06072787567793225,0.39705882352941174,0.6029411764705882,0.29411764705882354,0.7058823529411765,-0.009802141958817257,-0.031165066728939986,-0.0241702855914697,0.004827259852778214,-0.04591967423371449,-0.0166417355512984,-0.20588235294117646,-0.411764705882353,0.0033444275959780318,0.3690114322267162
speech_bert,4,63,0.03379619390564632,0.03672766842790118,0.026305203010689795,0.04163079741320368,0.026686121953972186,0.047237380381473806,-0.0005136872368347532,-0.010951549880567103,0.04631874383966466,0.05593865025389758,0.47619047619047616,0.5238095238095238,0.5238095238095238,0.47619047619047616,-0.0005136872368347532,-0.010951549880567103,-0.012157989063507308,0.010268355546470608,-0.025174567030433248,0.0029097617004032557,-0.04761904761904767,0.04761904761904767,0.12539982166870983,0.195719457399858
speech_bert,6,50,0.02991894130725931,0.02544469292862821,0.022850665040523604,0.03740613061261459,0.018797115568894386,0.033332128978158515,0.002612243996087823,-0.002706534024702047,0.04057802996615592,0.037863235479021026,0.42,0.58,0.52,0.48,0.002612243996087823,-0.002706534024702047,-0.008855113733604699,0.013424297208766884,-0.012320644795655256,0.007666250233908666,-0.15999999999999998,0.040000000000000036,0.4387864401379308,0.11039502386170588
speech_bert,8,29,0.026736027397717778,0.03120616848920119,0.01831189584775796,0.0366011606146301,0.02065304804873448,0.04313804102813143,-0.0014287683214610901,0.0018478178974664083,0.03811232235466217,0.04526644107908249,0.4482758620689655,0.5517241379310345,0.5517241379310345,0.4482758620689655,-0.0014287683214610901,0.0018478178974664083,-0.014387294633156366,0.012242214955784678,-0.013937211107669555,0.018725596403600088,-0.10344827586206895,0.10344827586206895,0.6661636994679501,-0.08096736835216949
spk_similarity,2,68,0.2355826272938528,0.1719294326783444,0.18991043871409796,0.2855503868479828,0.13867321197107468,0.2089147871885003,-0.2118590708587768,-0.11238586114402127,0.22802862914901084,0.1987879596422116,0.17647058823529413,0.8235294117647058,0.27941176470588236,0.7205882352941176,-0.2118590708587768,-0.11238586114402127,-0.2679140453207996,-0.16053462065495291,-0.16040017401402562,-0.06767124016859255,-0.6470588235294117,-0.4411764705882353,0.00013051864969198534,-0.49243491314001253
spk_similarity,4,63,0.11225625431047571,0.13337416877723574,0.08755454382789463,0.1401357087720173,0.10650202719524585,0.165250805158801,-0.013685804605834533,-0.01810099578586584,0.15258978882003044,0.17865012915273035,0.49206349206349204,0.5079365079365079,0.5079365079365079,0.49206349206349204,-0.013685804605834533,-0.01810099578586584,-0.05071493527919104,0.023158349633111194,-0.06664143329691885,0.024765422568230413,-0.015873015873015872,0.015873015873015872,0.8000152895688326,0.03205354044497816
spk_similarity,6,50,0.10115527720861683,0.13177139627025586,0.07441482059359444,0.12932289800576433,0.10567901911327292,0.1585893066977968,-0.010234088058626911,0.004528240619937831,0.14385716942773155,0.1645034175291649,0.44,0.56,0.56,0.44,-0.010234088058626911,0.004528240619937831,-0.051084760604128227,0.02836305480833129,-0.03790997661852523,0.049557526896363384,-0.12000000000000005,0.12000000000000005,0.4612184027090841,-0.10503146993082531
spk_similarity,8,29,0.11757637243272884,0.12665155051895896,0.08472274795810023,0.15529710675577746,0.09217322893042733,0.16214428093647784,-0.013642534229003066,0.013265994582229329,0.15776812172727533,0.1620186754499449,0.4482758620689655,0.5517241379310345,0.5517241379310345,0.4482758620689655,-0.013642534229003066,0.013265994582229329,-0.06679284695927455,0.04346543821649903,-0.04452494630280603,0.0709782642246387,-0.10344827586206895,0.10344827586206895,0.3504777540539751,-0.17632243926375152
