metric,prefix,N,MAD_anchor,MAD_arecho,MAD_anchor_CI_low,MAD_anchor_CI_high,MAD_arecho_CI_low,MAD_arecho_CI_high,mean_anchor,mean_arecho,std_anchor,std_arecho,p_value,cohen_d
se_sdr,4,89,5.517715772510999,4.594368201894429,3.9331169194202684,7.2247952654852945,3.1293011250177143,6.1527363505524955,2.3766207437822358,-1.0792913412367193,9.52772239883509,8.661707213999964,0.0015930940793258163,0.34538984946242096
se_sdr,6,74,5.605725817291464,5.054472639506715,3.968186340944418,7.355643098826565,3.633328218235762,6.829198099780791,2.814101344566325,-1.2349485817118926,8.929318811207496,8.851306770083061,0.00011633642203442393,0.4735250387348422
se_sdr,8,49,5.794796357877927,5.906952037411849,3.7270161468740284,8.165866223133785,3.7834719449634746,8.449065118623938,1.0993519968813958,-1.8554239660453151,9.815147114894927,10.32699771393603,0.040209462149218084,0.30125075780311217
asr_match_error_rate,2,30,0.08109164223503697,0.06237018104782236,0.020179398613945965,0.15049689417363166,0.021259131443187564,0.11571895743563579,-0.08109164223503697,-0.04775830890170364,0.19107828050679276,0.14692509054075314,0.32558198801619365,-0.1825741858350554
asr_match_error_rate,4,25,0.07247292093933425,0.07247292093933425,0.015232118908059047,0.15198172999443577,0.015198287352456576,0.15814847568047985,-0.07247292093933425,-0.07247292093933425,0.18501883431859836,0.18501883431859836,1.0,0.0
asr_match_error_rate,6,18,0.016455012912402138,0.016455012912402138,0.0024418398447659086,0.03335562707314381,0.002183592234458456,0.03498589554248715,-0.016455012912402138,-0.016455012912402138,0.035654303274569275,0.035654303274569275,1.0,0.0
asr_match_error_rate,8,9,0.01691490982968829,0.01691490982968829,0.0013071895424836444,0.04341715148297663,0.0013071895424836444,0.04382136272988027,-0.01691490982968829,-0.01691490982968829,0.03869359046047241,0.03869359046047241,1.0,0.0
speech_bert,2,68,0.04859099549278982,0.050820705778993565,0.03977522546266605,0.058302937084208244,0.040447541233262094,0.06241498270423841,-0.009802141958817257,-0.031165066728939986,0.06238108028271504,0.06072787567793225,0.0033444275959780318,0.3690114322267162
speech_bert,4,63,0.03379619390564632,0.03672766842790118,0.026273833407022443,0.04214096030408822,0.027757058260188015,0.04808862675628473,-0.0005136872368347532,-0.010951549880567103,0.04631874383966466,0.05593865025389758,0.12539982166870983,0.195719457399858
speech_bert,6,50,0.02991894130725931,0.02544469292862821,0.023344157047061012,0.03864974845137937,0.01845582759679554,0.03339675101697679,0.002612243996087823,-0.002706534024702047,0.04057802996615592,0.037863235479021026,0.4387864401379308,0.11039502386170588
speech_bert,8,29,0.026736027397717778,0.03120616848920119,0.018076437788068334,0.037168769333075606,0.02078239575529861,0.04319565551356247,-0.0014287683214610901,0.0018478178974664083,0.03811232235466217,0.04526644107908249,0.6661636994679501,-0.08096736835216949
spk_similarity,2,68,0.2355826272938528,0.1719294326783444,0.18976833717092792,0.28058738927699,0.13842939366028634,0.20849484214672573,-0.2118590708587768,-0.11238586114402127,0.22802862914901084,0.1987879596422116,0.00013051864969198534,-0.49243491314001253
spk_similarity,4,63,0.11225625431047571,0.13337416877723574,0.08856876970076397,0.1387149533977744,0.10550203180933458,0.1632393670835866,-0.013685804605834533,-0.01810099578586584,0.15258978882003044,0.17865012915273035,0.8000152895688326,0.03205354044497816
spk_similarity,6,50,0.10115527720861683,0.13177139627025586,0.07448468068062543,0.1292533665285909,0.10601226834146335,0.15975856873835137,-0.010234088058626911,0.004528240619937831,0.14385716942773155,0.1645034175291649,0.4612184027090841,-0.10503146993082531
spk_similarity,8,29,0.11757637243272884,0.12665155051895896,0.07985479271150964,0.15429733856317787,0.09314401142049974,0.16232698740930174,-0.013642534229003066,0.013265994582229329,0.15776812172727533,0.1620186754499449,0.3504777540539751,-0.17632243926375152
